Company_Name,Dependent.Company.Status,Number.of.Co.founders,Number.of.of.advisors,Team.size.Senior.leadership,Number.of.of.repeat.investors,Average.size.of.companies.worked.for.in.the.past,Product.or.service.company.,Focus.on.private.or.public.data.,Cloud.or.platform.based.serive.product.,Local.or.global.player,Worked.in.top.companies,Focus.on.consumer.data.,Crowdfunding.based.business,Machine.Learning.based.business
COMPANY212,SUCCESS,0,0,8,0,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY213,SUCCESS,1,0,4,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY214,SUCCESS,4,2,7,2,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY215,SUCCESS,1,0,1,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY216,SUCCESS,2,1,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY217,SUCCESS,2,1,2,0,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY218,SUCCESS,1,10,7,0,MEDIUM,PRODUCT,PRIVATE,CLOUD,GLOBAL,YES,YES,NO,NO
COMPANY219,SUCCESS,0,0,5,3,MEDIUM,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY220,SUCCESS,3,0,9,0,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY221,SUCCESS,2,0,5,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY222,SUCCESS,3,0,8,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY223,SUCCESS,0,0,3,0,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,YES,NO,NO,YES
COMPANY224,FAILED,2,0,3,0,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,YES
COMPANY225,FAILED,0,1,2,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY226,SUCCESS,2,3,4,1,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,YES,YES,NO,NO
COMPANY227,FAILED,2,1,2,3,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY228,FAILED,1,3,2,1,MEDIUM,SERVICE,PRIVATE,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY229,SUCCESS,2,1,2,0,SMALL,SERVICE,PRIVATE,BOTH,GLOBAL,YES,NO,NO,YES
COMPANY230,SUCCESS,2,0,3,0,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY231,SUCCESS,2,0,2,0,LARGE,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY232,SUCCESS,3,2,3,1,SMALL,BOTH,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY234,SUCCESS,3,3,6,2,SMALL,PRODUCT,PRIVATE,CLOUD,GLOBAL,NO,YES,NO,NO
COMPANY235,SUCCESS,5,5,10,2,LARGE,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,YES
COMPANY236,SUCCESS,3,0,3,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY237,FAILED,1,2,3,0,MEDIUM,SERVICE,PUBLIC,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY238,SUCCESS,4,0,6,0,MEDIUM,SERVICE,PUBLIC,PLATFORM,GLOBAL,YES,YES,NO,NO
COMPANY239,SUCCESS,2,0,2,0,LARGE,BOTH,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY240,SUCCESS,4,8,8,4,MEDIUM,SERVICE,PRIVATE,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY241,FAILED,2,0,2,0,SMALL,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY242,SUCCESS,2,0,2,0,LARGE,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY243,SUCCESS,2,0,3,2,MEDIUM,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY244,SUCCESS,1,1,10,1,LARGE,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY245,SUCCESS,2,0,2,0,SMALL,SERVICE,NO,NONE,GLOBAL,NO,NO,NO,NO
COMPANY246,SUCCESS,2,0,1,0,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY247,SUCCESS,2,0,3,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY248,SUCCESS,5,0,8,0,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY249,SUCCESS,2,0,5,0,MEDIUM,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY250,SUCCESS,0,1,1,0,MEDIUM,SERVICE,BOTH,BOTH,GLOBAL,NO,YES,NO,YES
COMPANY251,SUCCESS,2,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,YES,NO,YES
COMPANY252,SUCCESS,4,0,1,2,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,NO
COMPANY253,SUCCESS,3,0,3,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY254,SUCCESS,2,0,5,0,MEDIUM,PRODUCT,BOTH,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY255,SUCCESS,3,3,3,0,MEDIUM,PRODUCT,BOTH,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY256,SUCCESS,2,1,1,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY257,SUCCESS,3,0,1,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY258,SUCCESS,3,0,1,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY259,SUCCESS,0,0,4,0,LARGE,SERVICE,PRIVATE,BOTH,LOCAL,NO,YES,NO,NO
COMPANY260,SUCCESS,1,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,YES
COMPANY261,SUCCESS,2,0,6,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY262,SUCCESS,1,1,9,1,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,NO
COMPANY263,FAILED,1,2,1,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY264,FAILED,3,0,5,0,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY265,SUCCESS,2,1,3,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY266,SUCCESS,1,0,5,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY267,FAILED,0,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY268,FAILED,1,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY270,FAILED,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY271,FAILED,3,0,3,0,LARGE,SERVICE,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY272,FAILED,3,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY273,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY274,FAILED,4,0,4,0,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY275,FAILED,2,0,2,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,YES,NO,NO,NO
COMPANY276,FAILED,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY277,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY278,FAILED,1,1,1,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY279,FAILED,2,0,2,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY280,FAILED,2,0,2,0,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY281,FAILED,3,0,4,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY283,FAILED,3,0,3,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY284,FAILED,1,0,3,1,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY285,FAILED,1,0,3,1,MEDIUM,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY286,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY287,FAILED,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY288,FAILED,5,0,5,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY289,FAILED,1,0,2,0,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY290,FAILED,4,0,4,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY291,FAILED,3,1,3,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY292,FAILED,3,2,2,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY293,FAILED,2,0,2,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY294,FAILED,1,0,1,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY295,FAILED,2,2,2,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY296,FAILED,2,0,2,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY297,FAILED,1,1,2,0,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY298,FAILED,2,0,3,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY299,SUCCESS,2,0,2,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY300,SUCCESS,2,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY301,SUCCESS,3,0,3,1,MEDIUM,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY302,SUCCESS,7,0,3,1,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY303,SUCCESS,2,0,2,0,MEDIUM,SERVICE,NO,NONE,GLOBAL,NO,NO,YES,YES
COMPANY304,SUCCESS,3,1,5,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,NO
COMPANY305,SUCCESS,2,0,3,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,NO
COMPANY306,SUCCESS,4,3,8,4,SMALL,SERVICE,PUBLIC,PLATFORM,LOCAL,NO,NO,YES,YES
COMPANY307,SUCCESS,4,0,7,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,YES,NO,YES,YES
COMPANY308,SUCCESS,2,0,4,1,MEDIUM,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY309,SUCCESS,3,0,8,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,YES,NO,NO
COMPANY310,SUCCESS,2,1,6,3,MEDIUM,PRODUCT,BOTH,NONE,GLOBAL,NO,YES,YES,YES
COMPANY311,SUCCESS,3,1,5,1,MEDIUM,PRODUCT,BOTH,NONE,GLOBAL,NO,YES,YES,YES
COMPANY312,SUCCESS,1,0,1,0,MEDIUM,PRODUCT,PUBLIC,NONE,GLOBAL,YES,NO,YES,NO
COMPANY313,SUCCESS,1,6,2,0,MEDIUM,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,NO
COMPANY314,SUCCESS,2,0,4,1,MEDIUM,SERVICE,BOTH,NONE,LOCAL,NO,NO,YES,YES
COMPANY315,SUCCESS,2,0,6,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY316,SUCCESS,2,1,6,2,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,YES,NO,NO,YES
COMPANY317,SUCCESS,2,3,7,0,SMALL,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY318,SUCCESS,1,0,1,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY319,SUCCESS,1,0,2,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY320,SUCCESS,3,1,6,1,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY321,SUCCESS,3,1,5,1,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,YES,NO,NO,NO
COMPANY322,SUCCESS,2,2,5,1,SMALL,PRODUCT,PUBLIC,NONE,GLOBAL,YES,NO,NO,NO
COMPANY323,FAILED,2,1,2,0,MEDIUM,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY324,SUCCESS,2,0,4,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY325,SUCCESS,1,2,11,0,SMALL,PRODUCT,PUBLIC,NONE,GLOBAL,NO,NO,YES,YES
COMPANY326,SUCCESS,3,1,3,2,SMALL,PRODUCT,BOTH,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY328,FAILED,2,1,8,2,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY330,SUCCESS,1,0,1,0,SMALL,PRODUCT,PUBLIC,NONE,GLOBAL,NO,NO,NO,NO
COMPANY331,SUCCESS,3,1,3,0,SMALL,SERVICE,PUBLIC,NONE,LOCAL,NO,NO,NO,YES
COMPANY332,SUCCESS,2,0,4,1,MEDIUM,SERVICE,BOTH,NONE,GLOBAL,NO,NO,NO,YES
COMPANY333,FAILED,1,0,1,1,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,NO
COMPANY334,SUCCESS,1,0,3,1,LARGE,SERVICE,PUBLIC,NONE,GLOBAL,YES,NO,NO,YES
COMPANY335,SUCCESS,2,0,6,1,MEDIUM,PRODUCT,PUBLIC,NONE,GLOBAL,NO,NO,NO,YES
COMPANY336,SUCCESS,3,0,3,1,SMALL,PRODUCT,PUBLIC,NONE,GLOBAL,NO,NO,NO,YES
COMPANY337,SUCCESS,1,0,2,1,MEDIUM,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY338,FAILED,2,0,2,0,SMALL,PRODUCT,PRIVATE,NONE,GLOBAL,NO,NO,NO,YES
COMPANY339,SUCCESS,1,0,2,0,SMALL,PRODUCT,PUBLIC,NONE,LOCAL,NO,NO,NO,YES
COMPANY340,FAILED,1,0,1,1,SMALL,PRODUCT,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY341,SUCCESS,4,0,5,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY342,SUCCESS,0,0,1,0,SMALL,PRODUCT,PUBLIC,NONE,GLOBAL,YES,NO,NO,NO
COMPANY343,FAILED,2,0,2,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY344,SUCCESS,3,3,4,0,MEDIUM,PRODUCT,PUBLIC,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY345,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY346,SUCCESS,2,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY347,SUCCESS,2,0,2,0,LARGE,PRODUCT,NO,NONE,GLOBAL,NO,NO,NO,NO
COMPANY348,SUCCESS,3,0,3,0,MEDIUM,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY349,SUCCESS,1,0,7,0,LARGE,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY350,SUCCESS,3,0,3,0,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY351,SUCCESS,2,0,2,0,SMALL,SERVICE,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY352,SUCCESS,1,0,5,0,LARGE,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY353,SUCCESS,2,0,2,0,LARGE,SERVICE,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY354,SUCCESS,0,1,2,0,SMALL,PRODUCT,BOTH,BOTH,GLOBAL,NO,YES,NO,YES
COMPANY355,SUCCESS,2,1,4,0,LARGE,PRODUCT,BOTH,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY356,SUCCESS,2,0,2,0,SMALL,SERVICE,BOTH,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY357,SUCCESS,1,0,5,1,SMALL,SERVICE,PRIVATE,NONE,GLOBAL,NO,NO,NO,YES
COMPANY358,SUCCESS,4,0,3,0,LARGE,SERVICE,PUBLIC,BOTH,GLOBAL,NO,YES,NO,YES
COMPANY359,SUCCESS,3,0,3,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY361,SUCCESS,2,0,2,0,SMALL,PRODUCT,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY362,SUCCESS,3,0,3,0,MEDIUM,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,YES,YES
COMPANY363,SUCCESS,2,0,3,2,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,YES
COMPANY364,SUCCESS,2,0,2,0,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,YES,NO,NO,YES
COMPANY365,SUCCESS,2,0,1,0,SMALL,SERVICE,PUBLIC,BOTH,GLOBAL,NO,NO,NO,YES
COMPANY366,SUCCESS,2,0,1,0,SMALL,SERVICE,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY368,FAILED,2,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY369,SUCCESS,2,0,4,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY370,FAILED,1,0,1,1,SMALL,PRODUCT,PUBLIC,BOTH,LOCAL,NO,NO,NO,NO
COMPANY371,FAILED,2,0,2,0,SMALL,PRODUCT,BOTH,PLATFORM,GLOBAL,NO,YES,NO,NO
COMPANY372,SUCCESS,2,0,3,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY373,SUCCESS,3,0,3,0,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY374,FAILED,3,1,5,6,SMALL,SERVICE,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY375,FAILED,1,0,1,0,MEDIUM,SERVICE,BOTH,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY376,SUCCESS,0,0,4,0,LARGE,PRODUCT,NO,CLOUD,GLOBAL,NO,NO,NO,NO
COMPANY377,SUCCESS,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY378,FAILED,2,0,2,0,SMALL,PRODUCT,NO,NONE,LOCAL,NO,NO,NO,NO
COMPANY379,SUCCESS,0,0,1,1,SMALL,PRODUCT,NO,NONE,LOCAL,NO,NO,NO,NO
COMPANY380,SUCCESS,3,0,2,2,MEDIUM,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY381,FAILED,3,0,3,0,SMALL,PRODUCT,NO,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY382,FAILED,4,0,3,3,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY383,FAILED,4,0,4,2,MEDIUM,PRODUCT,BOTH,NONE,LOCAL,NO,NO,NO,NO
COMPANY384,FAILED,6,7,6,2,LARGE,PRODUCT,NO,PLATFORM,GLOBAL,YES,NO,NO,NO
COMPANY385,FAILED,3,3,10,2,LARGE,PRODUCT,BOTH,PLATFORM,LOCAL,YES,YES,NO,NO
COMPANY386,FAILED,1,2,1,0,MEDIUM,SERVICE,NO,PLATFORM,LOCAL,YES,YES,NO,NO
COMPANY387,FAILED,4,2,10,0,SMALL,SERVICE,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY388,FAILED,2,0,4,0,MEDIUM,SERVICE,BOTH,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY389,FAILED,2,2,4,0,LARGE,PRODUCT,BOTH,PLATFORM,LOCAL,YES,NO,NO,NO
COMPANY390,FAILED,1,1,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,YES,NO,NO,NO
COMPANY391,FAILED,2,2,4,1,SMALL,PRODUCT,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY392,FAILED,2,1,4,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY393,FAILED,3,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY394,FAILED,1,0,2,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY395,FAILED,0,1,1,0,SMALL,SERVICE,NO,CLOUD,LOCAL,NO,NO,NO,NO
COMPANY396,FAILED,1,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY397,FAILED,2,1,2,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY398,FAILED,2,1,2,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY399,FAILED,2,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY400,FAILED,1,0,2,0,LARGE,SERVICE,NO,PLATFORM,LOCAL,YES,NO,NO,NO
COMPANY401,FAILED,3,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY402,FAILED,0,0,2,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY404,FAILED,2,3,3,3,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY405,FAILED,0,0,3,0,LARGE,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY406,FAILED,3,0,3,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY407,FAILED,1,0,1,0,SMALL,PRODUCT,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY408,FAILED,1,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY409,FAILED,1,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY410,FAILED,1,0,1,0,LARGE,SERVICE,NO,PLATFORM,LOCAL  ,NO,NO,NO,NO
COMPANY411,FAILED,1,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY412,FAILED,3,1,4,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY413,FAILED,2,0,2,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY414,FAILED,1,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY415,FAILED,2,0,1,0,SMALL,SERVICE,NO,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY429,FAILED,1,0,4,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY431,FAILED,3,1,5,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY432,FAILED,1,0,5,2,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY433,FAILED,1,0,1,0,LARGE,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY434,FAILED,1,0,1,0,SMALL,SERVICE,BOTH,PLATFORM,LOCAL,NO,NO,NO,NO
COMPANY435,FAILED,2,1,3,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY436,FAILED,1,1,2,0,SMALL,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,NO
COMPANY437,FAILED,2,2,3,3,LARGE,SERVICE,PUBLIC,PLATFORM,GLOBAL,NO,NO,NO,YES
COMPANY438,FAILED,3,0,3,0,SMALL,SERVICE,PRIVATE,PLATFORM,GLOBAL,NO,NO,YES,NO
COMPANY439,FAILED,1,0,2,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY440,FAILED,2,1,2,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY441,FAILED,1,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY442,FAILED,1,0,2,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,YES,YES,NO,NO
COMPANY443,FAILED,2,0,2,0,SMALL,SERVICE,PRIVATE,CLOUD,LOCAL,NO,YES,NO,YES
COMPANY444,FAILED,2,0,2,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY445,FAILED,1,0,3,0,SMALL,PRODUCT,PRIVATE,CLOUD,LOCAL,NO,YES,NO,NO
COMPANY446,FAILED,2,3,2,3,SMALL,SERVICE,PRIVATE,CLOUD,LOCAL,NO,YES,NO,YES
COMPANY447,FAILED,1,0,1,0,SMALL,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY448,FAILED,0,0,7,0,MEDIUM,PRODUCT,PRIVATE,PLATFORM,GLOBAL,NO,YES,NO,YES
COMPANY449,FAILED,0,2,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,NO
COMPANY450,FAILED,1,0,2,0,SMALL,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
COMPANY451,FAILED,0,1,5,0,LARGE,PRODUCT,PRIVATE,PLATFORM,LOCAL,NO,NO,NO,YES
COMPANY452,FAILED,3,0,3,0,MEDIUM,SERVICE,PRIVATE,PLATFORM,LOCAL,NO,YES,NO,YES
